Category,Category_AR,Subcategory,Subcategory_AR,Product Name,Product Name_AR,Product Description,Product Description_AR,Unit,Unit_AR,July,August,September,October,November,December,Notes,Notes_AR
Basic Materials,مواد أساسية,Cement,أسمنت,Portland Pozzolani Grade 42.5,أسمنت بورتلاندي بوزولاني درجة 42.5,High quality eco-friendly cement with 10% lower carbon emissions,أسمنت صديق للبيئة عالي الجودة بانبعاثات كربونية أقل بنسبة 10%,Ton,طن,3700,3700,3700,,,,
Basic Materials,مواد أساسية,Cement,أسمنت,Cement finishing material (Pozzolani),مادة تشطيب أسمنتية (بوزولاني),High quality finishing material with 40% lower carbon emissions,مادة تشطيب عالية الجودة بانبعاثات كربونية أقل بنسبة 40%,Ton,طن,2800,2800,2800,,,,
Basic Materials,مواد أساسية,Cement,أسمنت,ECO Planet 5% (Bulk cement grade 42.5),إيكو بلانيت 5% (أسمنت سائب درجة 42.5),High performance concrete with 50-60% lower carbon emissions,خرسانة عالية الأداء بانبعاثات كربونية أقل بنسبة 50-60%,Ton,طن,4200,4200,4200,,,,
Basic Materials,مواد أساسية,Brick,طوب,Hollow clay block (10x26x20 cm, 3.90 kg),بلوك طوب مفرغ (10×26×20 سم، 3.90 كجم),Lightweight clay brick with thermal and acoustic insulation,طوب طفلي خفيف الوزن بعزل حراري وصوتي,Thousand units,ألف وحدة,7752,7752,7752,,,,
Finishes & Flooring,تشطيبات وأرضيات,Wood-Plastic Composite (WPC),خشب بلاستيكي مركب (WPC),WPC Flooring,أرضيات WPC,WPC flooring (HDPE 40%, high-density polyethylene),أرضيات WPC (بولي إيثيلين عالي الكثافة 40%),m²,متر مربع,3500,3850,3850,,,,"Price includes installation and accessories, excluding VAT",السعر شامل التركيب والإكسسوارات، غير شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Wood-Plastic Composite (WPC),خشب بلاستيكي مركب (WPC),WPC Cladding,كلادينج WPC,WPC cladding (HDPE 40%, high-density polyethylene),كلادينج WPC (بولي إيثيلين عالي الكثافة 40%),m²,متر مربع,2500,2750,2750,,,,"Price includes installation and accessories, excluding VAT",السعر شامل التركيب والإكسسوارات، غير شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Wood Substitute,بديل الخشب,PVC wood substitute board (20cm width x 2.80m height),لوح بديل خشب PVC (عرض 20 سم × ارتفاع 2.80 م),PVC board as natural wood substitute,لوح PVC كبديل للخشب الطبيعي,Board,لوح,285,285,268,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Natural Stone,حجر طبيعي,Slice Stone panels 61x42 cm,ألواح سلايس ستون 61×42 سم,Natural stone slice stone panels,ألواح سلايس ستون من الحجر الطبيعي,m²,متر مربع,1618,1618,1618,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Natural Stone,حجر طبيعي,Slice Stone panels 105x21 cm,ألواح سلايس ستون 105×21 سم,Natural stone slice stone panels,ألواح سلايس ستون من الحجر الطبيعي,m²,متر مربع,2130,2130,2130,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Natural Stone,حجر طبيعي,Slice Stone tiles 20x3 cm,بلاط سلايس ستون 20×3 سم,Natural stone slice stone tiles,بلاط سلايس ستون من الحجر الطبيعي,m²,متر مربع,1618,1618,1618,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Natural Stone,حجر طبيعي,Slice Stone tiles 30x3 cm,بلاط سلايس ستون 30×3 سم,Natural stone slice stone tiles,بلاط سلايس ستون من الحجر الطبيعي,m²,متر مربع,1618,1618,1618,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Natural Stone,حجر طبيعي,Slice Stone tiles 30x6 cm,بلاط سلايس ستون 30×6 سم,Natural stone slice stone tiles,بلاط سلايس ستون من الحجر الطبيعي,m²,متر مربع,1618,1618,1618,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Natural Stone,حجر طبيعي,Slice Stone tiles 30x7 cm,بلاط سلايس ستون 30×7 سم,Natural stone slice stone tiles,بلاط سلايس ستون من الحجر الطبيعي,m²,متر مربع,1618,1618,1618,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Marble Substitute,بديل الرخام,Wall marble substitute panel with protective layer (1.22x2.80m, 3mm thick),لوح بديل رخام للحوائط بطبقة حماية (1.22×2.80 م، سمك 3 مم),PVC panel with marble print,لوح PVC بطباعة رخام,Board,لوح,741,741,741,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Marble Substitute,بديل الرخام,Wall marble substitute panel without protective layer (1.22x2.80m, 3mm thick),لوح بديل رخام للحوائط بدون طبقة حماية (1.22×2.80 م، سمك 3 مم),PVC panel with marble print,لوح PVC بطباعة رخام,Board,لوح,798,798,798,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Chipboard Substitute,بديل الخشب الحبيبي,Wall cladding panel as chipboard substitute (1.22x2.80m),لوح كلادينج حوائط كبديل للخشب الحبيبي (1.22×2.80 م),PVC panel as chipboard/foam board substitute,لوح PVC كبديل للخشب الحبيبي/الفوم بورد,Board,لوح,1083,1083,1083,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Stone Substitute,بديل الحجر,Interior stone substitute without paint (60x120cm, code 001),بديل حجر داخلي بدون دهان (60×120 سم، كود 001),Polyurethane foam stone substitute,بديل حجر من فوم البولي يوريثان,Board,لوح,541.5,541.5,581.4,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Stone Substitute,بديل الحجر,Interior stone substitute without paint (110x60cm, code 003),بديل حجر داخلي بدون دهان (110×60 سم، كود 003),Polyurethane foam stone substitute,بديل حجر من فوم البولي يوريثان,Board,لوح,399,399,376.2,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Finishes & Flooring,تشطيبات وأرضيات,Stone Substitute,بديل الحجر,Exterior stone substitute (120x60cm, code 005),بديل حجر خارجي (120×60 سم، كود 005),Polyurethane foam stone substitute,بديل حجر من فوم البولي يوريثان,Board,لوح,712.5,712.5,741,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Insulating Materials,مواد عازلة,Cement Compounds,مركبات أسمنتية,Water, heat, and sound insulating nano-technology compound,مركب عازل للمياه والحرارة والصوت بتقنية النانو,Cement-based insulating compound,مركب عازل أساسه أسمنتي,Kg,كيلو جرام,31,31,31,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Insulating Materials,مواد عازلة,Paints,دهانات,Two-component insulating paint using space research technology,دهان عازل مكون من جزئين بتقنية أبحاث الفضاء,Heat and sound insulating paint,دهان عازل للحرارة والصوت,Kg,كيلو جرام,91,91,91,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Insulating Materials,مواد عازلة,Paints,دهانات,Multi-purpose elastic waterproof paint,دهان مرن متعدد الاستخدامات مقاوم للمياه,Elastic waterproof paint for harsh conditions,دهان مرن مقاوم للمياه للظروف القاسية,Kg,كيلو جرام,113,113,113,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Insulating Materials,مواد عازلة,Paints,دهانات,Multi-purpose elastic waterproof nano-technology paint,دهان مرن متعدد الاستخدامات مقاوم للمياه بتقنية النانو,Elastic waterproof nano-technology paint,دهان مرن مقاوم للمياه بتقنية النانو,Kg,كيلو جرام,136,136,136,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Insulating Materials,مواد عازلة,Paints,دهانات,Multi-purpose natural powder (1x4) (sealer-putty-coating-paint),بودرة طبيعية متعددة الاستخدامات (1×4) (سيلر-معجون-طلاء-دهان),Multi-purpose natural powder for various applications,بودرة طبيعية متعددة الاستخدامات لتطبيقات مختلفة,Kg,كيلو جرام,42.5,42.5,42.5,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Insulating Materials,مواد عازلة,Paints,دهانات,Micron metal binding material,مادة ربط معدنية ميكرونية,Paint with micron metal binding material,دهان بمادة ربط معدنية ميكرونية,Kg,كيلو جرام,34,34,34,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Insulating Materials,مواد عازلة,Paints,دهانات,Micron metal binding material with natural marble filler,مادة ربط معدنية ميكرونية بحشو رخام طبيعي,Coating with micron metal binding material and marble filler,طلاء بمادة ربط معدنية ميكرونية وحشو رخام,Kg,كيلو جرام,34,34,34,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,Trina Solar 575W,ترينا سولار 575 واط,Solar panel,لوح شمسي,Watt,واط,6.8,6.8,6.85,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,Jinko 560W,جينكو 560 واط,Solar panel,لوح شمسي,Watt,واط,7.1,7.1,6.85,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,Sun Tech 605W,صن تك 605 واط,Solar panel,لوح شمسي,Watt,واط,6.85,6.85,6.75,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,GA 605W,جي إيه 605 واط,Solar panel,لوح شمسي,Watt,واط,6.85,6.85,6.75,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V AUTO 20A,PWM 12 فولت/24 فولت أوتوماتيك 20 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,236,236,236,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V AUTO 30A,PWM 12 فولت/24 فولت أوتوماتيك 30 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,280,280,280,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V AUTO 50A,PWM 12 فولت/24 فولت أوتوماتيك 50 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,858,858,858,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V/48V AUTO 60A,PWM 12 فولت/24 فولت/48 فولت أوتوماتيك 60 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,1911,1911,1911,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,MPPT 12V/24V AUTO 40A,MPPT 12 فولت/24 فولت أوتوماتيك 40 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,4160,4160,4160,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,MPPT 12V/24V/48V AUTO 60A,MPPT 12 فولت/24 فولت/48 فولت أوتوماتيك 60 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,5200,5200,5200,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,New Max 100Ah,نيو ماكس 100 أمبير,Deep cycle battery,بطارية دورة عميقة,Unit,وحدة,11650,11650,11650,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,New Max 150Ah,نيو ماكس 150 أمبير,Deep cycle battery,بطارية دورة عميقة,Unit,وحدة,14250,14250,14250,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,New Max 200Ah,نيو ماكس 200 أمبير,Deep cycle battery,بطارية دورة عميقة,Unit,وحدة,17800,17800,17800,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,Gel 100Ah,جل 100 أمبير,Gel battery,بطارية جل,Unit,وحدة,10000,10000,10000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,Gel 150Ah,جل 150 أمبير,Gel battery,بطارية جل,Unit,وحدة,13000,13000,13000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,Gel 200Ah,جل 200 أمبير,Gel battery,بطارية جل,Unit,وحدة,15000,15000,15000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (2KW/PWM 50A),ماست (2 كيلو واط/PWM 50 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,8630,8630,8630,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (3KW/PWM 60A),ماست (3 كيلو واط/PWM 60 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,10194,10194,10194,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (5.2KW/PWM 80A),ماست (5.2 كيلو واط/PWM 80 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,19394,19394,19394,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (2KW/MPPT 50A),ماست (2 كيلو واط/MPPT 50 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,10182,10182,10182,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (3KW/MPPT 60A),ماست (3 كيلو واط/MPPT 60 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,12082,12082,12082,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,VEICHI (3KW/MPPT 60A),فيتشي (3 كيلو واط/MPPT 60 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,12650,12650,12650,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,VEICHI (5KW/100A PRO),فيتشي (5 كيلو واط/100 أمبير برو),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,22900,22900,22900,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,VEICHI (10.2KW/MPPT 160A),فيتشي (10.2 كيلو واط/MPPT 160 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,55000,55000,55000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Protection Panels,لوحات حماية,Sun Tree 5HP capacity,صن تري سعة 5 حصان,Solar protection panel,لوحة حماية شمسية,Unit,وحدة,4890,4890,4890,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Protection Panels,لوحات حماية,Sun Tree 10HP capacity,صن تري سعة 10 حصان,Solar protection panel,لوحة حماية شمسية,Unit,وحدة,5500,5500,5500,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
